Store_Name,Entity_Type,Category,District,Nearest Prking
Adawliah,Retail,Electronics,1st Avenue,Entrance 02
Al-Tijari Bank,Retail,Banks & Financial Services,1st Avenue,Entrance 02
Aldo,Retail,Shoes & Bags,1st Avenue,Entrance 02
Aldo Accessories,Retail,Jewellery & Accessories,1st Avenue,Entrance 02
American Eagle,Retail,Apparel,1st Avenue,Entrance 02
Astore,Retail,Electronics,1st Avenue,Entrance 02
Birkenstock,Retail,Apparel,1st Avenue,Entrance 02
Boots,Retail,Pharmacy,1st Avenue,Entrance 02
Borders,Retail,Bookstores & Stationeries,1st Avenue,Entrance 02
Claire's,Retail,Jewellery & Accessories,1st Avenue,Entrance 02
Columbia,Retail,Apparel,1st Avenue,Entrance 02
Defacto,Retail,Department Stores,1st Avenue,Entrance 02
Doctor Mum,Retail,Spa & Salon,1st Avenue,Entrance 02
Doctor Mum,Retail,Spa & Salon,1st Avenue,Entrance 02
Etam,Retail,Apparel,1st Avenue,Entrance 02
Farah Home,Retail,Home & Furniture,1st Avenue,Entrance 02
Flare,Retail,Home & Furniture,1st Avenue,Entrance 02
Flat Moda,Retail,Shoes & Bags,1st Avenue,Entrance 02
Flying Tiger,Retail,Home & Furniture,1st Avenue,Entrance 02
Foot Locker,Retail,"Apparel, Shoes & Bags",1st Avenue,Entrance 02
Game Store,Retail,Toys & Hobbies,1st Avenue,Entrance 02
Gap,Retail,Apparel,1st Avenue,Entrance 02
H&M,Retail,Department Stores,1st Avenue,Entrance 02
HOF,Retail,Home & Furniture,1st Avenue,Entrance 02
Hamleys,Retail,Toys & Hobbies,1st Avenue,Entrance 02
IKEA,Retail,Home & Furniture,1st Avenue,Entrance 02
Indian Heritage,Retail,Apparel,1st Avenue,Entrance 02
Ivory,Retail,Apparel,1st Avenue,Entrance 02
Jarir Bookstore,Retail,Bookstores & Stationeries,1st Avenue,Entrance 02
Jawhara Jewellery,Retail,Jewellery & Accessories,1st Avenue,Entrance 02
Jo Malone London,Retail,Beauty & Cosmetics,1st Avenue,Entrance 02
Khat Gallery,Retail,Home & Furniture,1st Avenue,Entrance 02
Kozy,Retail,Apparel,1st Avenue,Entrance 02
MAC,Retail,Beauty & Cosmetics,1st Avenue,Entrance 02
Mango,Retail,Apparel,1st Avenue,Entrance 02
Meem O Noon,Retail,Apparel,1st Avenue,Entrance 02
Modish,Retail,Apparel,1st Avenue,Entrance 02
Montania,Retail,Apparel,1st Avenue,Entrance 02
Mumuso,Retail,"Bookstores & Stationeries, Toys & Hobbies",1st Avenue,Entrance 02
NBK,Retail,Banks & Financial Services,1st Avenue,Entrance 02
Nostalgia,Retail,Apparel,1st Avenue,Entrance 02
Ontime,Retail,Jewellery & Accessories,1st Avenue,Entrance 02
Oosha,Retail,Apparel,1st Avenue,Entrance 02
Pecann Bee,Retail,Specialist Shop,1st Avenue,Entrance 02
Penti,Retail,Apparel,1st Avenue,Entrance 02
Pull&Bear,Retail,Apparel,1st Avenue,Entrance 02
RIVA HOME,Retail,Home & Furniture,1st Avenue,Entrance 02
Rio,Retail,Shoes & Bags,1st Avenue,Entrance 02
SHED,Retail,Apparel,1st Avenue,Entrance 02
Shoebox Newyork,Retail,Shoes & Bags,1st Avenue,Entrance 02
Steve Madden,Retail,Shoes & Bags,1st Avenue,Entrance 02
Sunglass Hut,Retail,Opticals,1st Avenue,Entrance 02
Swarovski,Retail,Jewellery & Accessories,1st Avenue,Entrance 02
Sway,Retail,Apparel,1st Avenue,Entrance 02
Tavola,Retail,Electronics,1st Avenue,Entrance 02
Tezenis,Retail,Apparel,1st Avenue,Entrance 02
The Body Shop,Retail,Beauty & Cosmetics,1st Avenue,Entrance 02
Under Armour,Retail,Apparel,1st Avenue,Entrance 02
Vavavoom,Retail,Beauty & Cosmetics,1st Avenue,Entrance 02
Vocabs,Retail,Apparel,1st Avenue,Entrance 02
Wall street Exchange,Retail,Banks & Financial Services,1st Avenue,Entrance 02
White Uniform,Retail,Apparel,1st Avenue,Entrance 02
Women' secret,Retail,Apparel,1st Avenue,Entrance 02
X-Cite,Retail,Electronics,1st Avenue,Entrance 02
Yamamay,Retail,Apparel,1st Avenue,Entrance 02
Zara,Retail,Apparel,1st Avenue,Entrance 02
Zara Home,Retail,Home & Furniture,1st Avenue,Entrance 02
20 Grams,Dining,Café & Sweets,1st Avenue,Entrance 02
Amorino,Dining,Café & Sweets,1st Avenue,Entrance 02
Asha's,Dining,Restaurants,1st Avenue,Entrance 02
Four Bros,Dining,Fast Food,1st Avenue,Entrance 02
LE H Café,Dining,Café & Sweets,1st Avenue,Entrance 02
Marble Slab Creamery,Dining,Café & Sweets,1st Avenue,Entrance 02
Meme's Curry,Dining,Restaurants,1st Avenue,Entrance 02
Mini & Many,Dining,Chocolate & Confectionery,1st Avenue,Entrance 02
Namli Gurme,Dining,Restaurants,1st Avenue,Entrance 02
Paul Café,Dining,Restaurants,1st Avenue,Entrance 02
Pick (Daily Picks),Dining,Café & Sweets,1st Avenue,Entrance 02
Pinkberry,Dining,Café & Sweets,1st Avenue,Entrance 02
Raising Cane's,Dining,Fast Food,1st Avenue,Entrance 02
Shake Shack,Dining,Fast Food,1st Avenue,Entrance 02
Starbucks,Dining,Café & Sweets,1st Avenue,Entrance 02
Starbucks Coffee,Dining,Café & Sweets,1st Avenue,Entrance 02
Starbucks Coffee,Dining,Café & Sweets,1st Avenue,Entrance 02
TGI Friday's,Dining,Restaurants,1st Avenue,Entrance 02
ZO Eatery,Dining,Restaurants,1st Avenue,Entrance 02
Zufa,Dining,Restaurants,1st Avenue,Entrance 02
Abati Sakbah,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Abdul Samad Al Qurashi,Retail,Beauty & Cosmetics,2nd Avenue,"Entrance 09, 12"
Abercrombie Kids,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Adolfo Dominguez,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Ajmal,Retail,Beauty & Cosmetics,2nd Avenue,"Entrance 09, 12"
Ajmal,Retail,Beauty & Cosmetics,2nd Avenue,"Entrance 09, 12"
Al Fares Jewllery,Retail,Jewellery & Accessories,2nd Avenue,"Entrance 09, 12"
Al Maghrabi Optical,Retail,Opticals,2nd Avenue,"Entrance 09, 12"
Al Muzaini Exchange,Retail,Banks & Financial Services,2nd Avenue,"Entrance 09, 12"
Al Muzaini Exchange,Retail,Banks & Financial Services,2nd Avenue,"Entrance 09, 12"
Al Quraishi Perfume,Retail,Beauty & Cosmetics,2nd Avenue,"Entrance 09, 12"
Al Sirhan,Retail,Shoes & Bags,2nd Avenue,"Entrance 09, 12"
Al Zain,Retail,Jewellery & Accessories,2nd Avenue,"Entrance 09, 12"
Al-Jazeera Perfumes,Retail,Beauty & Cosmetics,2nd Avenue,"Entrance 09, 12"
Al-Shaya Perfumes,Retail,Beauty & Cosmetics,2nd Avenue,"Entrance 09, 12"
Alvira,Retail,Jewellery & Accessories,2nd Avenue,"Entrance 09, 12"
Aman Xchange,Retail,Banks & Financial Services,2nd Avenue,"Entrance 09, 12"
Amaya Kids,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Annabelle,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Anuba,Retail,Spa & Salon,2nd Avenue,"Entrance 09, 12"
Anwar,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Anwar,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Arnubah & Dabdoob,Retail,Spa & Salon,2nd Avenue,"Entrance 09, 12"
Around The World,Retail,Jewellery & Accessories,2nd Avenue,"Entrance 09, 12"
Atyab AlMarshoud,Retail,Beauty & Cosmetics,2nd Avenue,"Entrance 09, 12"
Aura,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Ava,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
BOSS,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Baby Dior,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Bath & Body Works,Retail,Beauty & Cosmetics,2nd Avenue,"Entrance 09, 12"
Bayt Al Saboun Al Loubnani,Retail,Beauty & Cosmetics,2nd Avenue,"Entrance 09, 12"
Behbehani Watch World,Retail,Jewellery & Accessories,2nd Avenue,"Entrance 09, 12"
Beloved One,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Bershka,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Beverly Hills Polo Club,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Bianca Nera,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Bonita,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Bonpoint,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Boots,Retail,Pharmacy,2nd Avenue,"Entrance 09, 12"
Build A Bear,Retail,Toys & Hobbies,2nd Avenue,"Entrance 09, 12"
Burberry Kids,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Calvin Klein Kids,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Calzedonia,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Caraclan,Retail,Apparel,2nd Avenue,"Entrance 09, 12"
Chakra,Retail,Home & Furniture,2nd Avenue,"Entrance 09, 12"
Charles & Keith,Retail,Shoes & Bags,2nd Avenue,"Entrance 09, 12"
Charriol,Retail,Jewellery & Accessories,2nd Avenue,"Entrance 09, 12"
Claire's,Retail,Jewellery & Accessories,2nd Avenue,"Entrance 09, 12"
Clarks,Retail,Shoes & Bags,2nd Avenue,"Entrance 09, 12"
Comfort Shoe,Retail,Shoes & Bags,2nd Avenue,"Entrance 09, 12"
Comtel,Retail,Electronics,2nd Avenue,"Entrance 09, 12"
